Prevalencia de anticuerpos IgG anti SARS-COv2 por provincia,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Provincia,Total,,,,,Hombres,,,,,Mujeres,,,,
,Nº,%,IC 95%,,,Nº,%,IC 95%,,,Nº,%,IC 95%,,
Araba/Álava,616,9,6.9,-,11.5,308,7.2,4.7,-,10.9,308,10.7,6.7,-,16.8
Albacete,904,12.5,9.7,-,16,423,12.2,7.8,-,18.6,481,12.8,9.1,-,17.9
Alicante/Alacant,1387,4.5,3.2,-,6.2,649,4.5,3,-,6.6,738,4.5,3,-,6.6
Almería,722,4.2,2.9,-,6,336,4.8,2.9,-,7.9,386,3.6,1.9,-,6.5
Ávila,592,12.9,9.2,-,17.8,292,13.9,9.3,-,20.2,300,12,7.9,-,17.7
Badajoz,1344,4.1,3,-,5.5,653,4.4,3,-,6.3,691,3.9,2.6,-,5.6
"Balears, Illes",891,3.3,2.3,-,4.9,428,3.3,2.1,-,5.3,463,3.3,2,-,5.5
Barcelona,2807,9.8,7.9,-,12.1,1334,9.1,7.1,-,11.6,1473,10.5,8.4,-,13.1
Burgos,706,9.4,5.7,-,15,341,9.7,5.6,-,16.4,365,9,5.5,-,14.4
Cáceres,1031,8.4,5.7,-,12,500,8.7,5.5,-,13.6,531,8,5.6,-,11.5
Cádiz,1004,3.5,2.4,-,5.2,466,2.8,1.6,-,4.8,538,4.2,2.7,-,6.5
Castellón/Castelló,768,7.1,4.9,-,10.2,370,5.8,3.7,-,9.1,398,8.3,5.7,-,11.9
Ciudad Real,949,8.3,5.8,-,11.8,460,7.9,4.8,-,12.7,489,8.8,6.3,-,12.1
Córdoba,893,2.8,1.9,-,4.2,407,3.1,1.9,-,5,486,2.6,1.3,-,5
"Coruña, A",960,2.6,1.4,-,4.8,437,2.5,1.1,-,5.7,523,2.7,1.6,-,4.6
Cuenca,660,11.1,8.1,-,15,322,11.4,8.1,-,15.8,338,10.8,7.3,-,15.7
Girona,787,8.7,6,-,12.5,355,8.9,5.3,-,14.5,432,8.5,6,-,12
Granada,854,6.8,4.9,-,9.3,383,6.1,3.8,-,9.7,471,7.4,4.9,-,11
Guadalajara,621,10.8,7.3,-,15.7,296,9.3,5.1,-,16.4,325,12.4,9.1,-,16.8
Gipuzkoa,866,4.6,3.1,-,6.7,410,5.5,3.6,-,8.3,456,3.7,2.2,-,6.2
Huelva,831,3.4,1.7,-,6.7,379,3.3,1.4,-,7.6,452,3.5,1.8,-,6.6
Huesca,635,6.8,4.8,-,9.6,297,6.2,3.5,-,10.5,338,7.4,4.9,-,11
Jaén,805,5.5,3.6,-,8.1,373,5.3,3.2,-,8.6,432,5.6,3.6,-,8.6
León,851,7.1,4.6,-,10.9,419,6.6,3.9,-,10.9,432,7.5,4.9,-,11.3
Lleida,564,10.4,6.2,-,17.1,248,8.9,4.6,-,16.6,316,11.9,7,-,19.4
"Rioja, La",1127,5.3,3.7,-,7.6,544,5.1,3.4,-,7.6,583,5.6,3.6,-,8.5
Lugo,642,2.7,1.6,-,4.3,311,1.4,0.6,-,3.5,331,3.7,2.2,-,6.2
Madrid,2734,12.5,10.7,-,14.4,1265,10.6,8.7,-,12.8,1469,14.1,11.9,-,16.5
Málaga,1033,4.8,3.2,-,7,484,4.2,2.7,-,6.6,549,5.3,3.2,-,8.5
Murcia,1389,5.5,3.8,-,7.8,637,5.8,3.8,-,8.8,752,5.2,3.5,-,7.6
Navarra,1422,10.8,8.5,-,13.7,699,10.3,7.6,-,13.9,723,11.3,8.9,-,14.3
Ourense,450,3.6,2.1,-,6.3,214,4.1,1.9,-,8.4,236,3.2,1.4,-,7.1
Asturias,1616,4.7,3.7,-,6.1,730,5,3.8,-,6.7,886,4.4,3.2,-,6.1
Palencia,669,10.6,7.3,-,15.1,323,10.4,7.1,-,15,346,10.8,7.1,-,16.1
"Palmas, Las",1119,2.3,1.4,-,3.8,526,2.9,1.6,-,5.1,593,1.8,1,-,3.2
Pontevedra,1051,3.4,2.4,-,4.9,483,3.9,2.6,-,5.9,568,3,1.8,-,4.9
Salamanca,752,10.5,8.2,-,13.4,362,12.8,10.2,-,15.9,390,8.4,5.4,-,12.8
Santa Cruz de Tenerife,854,1.5,0.6,-,3.8,378,1.1,0.2,-,5.1,476,1.8,0.8,-,4.2
Cantabria,1371,4.8,3.4,-,6.7,643,4.2,2.7,-,6.6,728,5.2,3.7,-,7.4
Segovia,584,12.3,9,-,16.8,282,10.9,8,-,14.6,302,13.8,8.6,-,21.2
Sevilla,1510,7.1,4.8,-,10.2,730,7.7,5,-,11.5,780,6.5,4.5,-,9.5
